"doc_id","text","dropped"
"16 UgyFuMiaTI4PuwNZwGd4AaABAg","15000 new jobs😊😊",NA
"20 UgxYrzsrZtDBD27k7nx4AaABAg","Ba Ba Ba",NA
"86 UgyrKeRq425NMPgXcfh4AaABAg","Scott - gummie DEI

JR",NA
"93 UgwjjKYQ6mj2aI2z2Al4AaABAg","ESTADUNIDENSES não têm muita escolha o péssimo ou o pior????",NA
"99 UgyrAhitTr7UU8IaJ9Z4AaABAg","FJB",NA
"106 UgwPFdD53JUNuQcp5PZ4AaABAg","RFK all the way!🇺🇸👏🏼",NA
"181 UgzF9W1ZNrkPKaWXQKx4AaABAg.A5Dz8nJiYGPA5FnZTwGoF8","Fr",NA
"204 UgxR44b2B_ks1lnTafF4AaABAg","✌️2😆👏✌️2✌️Let go Dddy joe✌️2✌️👏😊👋2✌️👌👏☺️",NA
"243 Ugz-c7sMgLkbN7wrWWF4AaABAg","*sigh*",NA
"268 UgxmL7R26dJOa3GsB894AaABAg","Karl Marxin oppi sai aikaan koko Venäjän rappion. Nyt se leviää Suomessa.




https://youtu.be/aLECeQthlfw?si=9slEleqov-tr3jd8",NA
"273 UgyR8G4IRqrjRI2dauJ4AaABAg","عتى صوطى الى ترمب السوال الكبير الى ابعد مداء",NA
"287 UgzCRElsGpmvL5QPR5F4AaABAg","Спасибо за видео! 🇰🇿",NA
"288 Ugw_3K3pfulxXhtpw354AaABAg","بایدن پبرمرد خرفت..ترامپ مرد دیوانه",NA
"328 Ugx0zi0gbWGNTSKwqfN4AaABAg","One leven fitty fi  🚼",NA
"398 UgxiVnlK2V1FVH0xWAJ4AaABAg","Statler and Waldorf",NA
"399 UgxTaWdCq9A-OEx6KZR4AaABAg","20:40  SLAM DUNK",NA
"404 Ugye1BUt1RTyanH_B3p4AaABAg","THE EMPEROR HAS NO CLOTHES!",NA
"417 UgxkEBt3n_491onGXW14AaABAg","Blood ties vs crip ties😂",NA
"423 UgwsL-rC3rVfDdb51vV4AaABAg","https://youtu.be/NC5QSrtLB3U?si=k0rjTcR5ktQDWFQd",NA
"467 UgxY0i2JXs7XGvNvkAd4AaABAg","Oh no. It’s demented Joe!",NA
"470 Ugy6KIN-ez9wuZVX7rF4AaABAg","i got My flag way up there when i saw her...",NA
"488 UgwaPmmRKlzjvZzJGed4AaABAg","K",NA
"554 UgzEiK2Ipwo1zabEq1x4AaABAg","Were so cooked😭😭😭🙏",NA
"571 UgxAWvx1KCtfVlwUNOp4AaABAg","And he is Catholic \"\"",NA
"582 Ugx8t13CFnw6kgfialB4AaABAg","All I can say is LOL",NA
"589 UgxorIBJrhkasbZNUjh4AaABAg","4:10",NA
"595 Ugz8eELBjfsfMOTM8vR4AaABAg","11:00 i skibidi with",NA
"597 Ugy_JzQaaUnSpeLFkU14AaABAg","🙌🏻F…J…B…!",NA
"607 UgxitrkI8wnEdaKAVkd4AaABAg","50:37 추가 질문 구간 😮",NA
"651 Ugw1RzzUL-BfOMdC-ZJ4AaABAg","CNN is trash",NA
"684 UgwjrxiG_vgYxiuCT3V4AaABAg","11:07 I died",NA
"692 UgzEF5KhSwsz1xiqXvZ4AaABAg","What a Circus!",NA
"744 UgwcxdjMzovsyHl_K8N4AaABAg","❤❤❤tarms",NA
"751 UgzK5ZnV6auJYUq-0B14AaABAg","✔️",NA
"755 Ugx24tvquWPhgk2O-Z94AaABAg","Florida gill",NA
"770 UgwWa1HbeNk0_7usUSh4AaABAg","وهاذه
ةلبرزنتال.لن.تنالوها.ما.دمت.حييا",NA
"771 Ugw5lFd1bVhCW4Mfeb54AaABAg","هاذه.كلدمت.بات.وبعد.ماسمعو.من.الناس.العارفون.بالافاض.ةلعامه.العربه.ولا.موهم.علي.وضع.انسان.في.مكان.العشره.غيروها.بكلمت.دبات.واهذا.من.اسنوات.احدا.اقارب.ةلرئيس.بيدن.يدعي.انه.قفرمان.وإن.هاذه.الكله.سوف.انقها.الي.القضاء.لينر.فيها..وانه.من.التعجرف.والتكبر..وضعنا.في.مقام.بات.وانذرو.الي.العنصريه. العنصريه.انت.امركي.تعتقد.انك.احسن.منا.جلقا.وخلقا.ياايها.الناس.ان.خلقيناهم.من.ذكر.وانثي.وشعلناكم.شعيب.وقبايل.لتعارفو.ان.اكرمكم.عند.الله.اتقاكم. لا.يسخر.قوما.من.قوما.عسي.ان.يكنوخيرا.منهم.ولا.نساء.من.نساء.عسي.ان.يكن.خيرا.منهن",NA
"776 Ugxesva3xappDKr0z0h4AaABAg","❤",NA
"780 UgwqayaY7ktA1wLBD8F4AaABAg","不得不说，真好看。😂",NA
"788 Ugz4PZCrWCJaKOGC-Vx4AaABAg","I am from nepal🇳🇵",NA
"791 Ugy7kT4J7r7M01Ek-xp4AaABAg","❤ทางสายการบิน  ❤",NA
"792 UgxrumDIK9iEzPDYNid4AaABAg","❤ทำขนมที่โรงพยาบาลเอกชนตรังสงชลารวยส่งไปแัวกกษ  แรนนาดา  ฟิลา❤❤❤",NA
"793 UgzJ7Z8xziRwxgV_IBt4AaABAg","😮trump I dislike 😢😢😢😢😢",NA
"807 UgwsPJrH6TTignbjXDp4AaABAg","Sir Trump🙏🙏🙏👏👏👏👏👏❤️❤️❤️❤️❤️",NA
"811 UgxH2-WCxx0u15UKmYd4AaABAg","เพาะหนูเกลียดคนโกหดและคนโกงเป็นชีวิตจิตใจมากมากเลยยอมิดตายแต่ไม่ยอมโกงของของใครเด็ดขาดนะคะฟีด",NA
"812 Ugz-hT-l_6_F3UoV92N4AaABAg","แต่ไห้เขามาอย่าด่วนก่อนที่หนูจะไปฟ้องทีสถานทูตอังกฤนาวมานาวเมืองไทย",NA
"823 UgyIXtdLI1ZyLAfq0aN4AaABAg","So they are editing Joe's weird facial expressions and his gaps, sneaky!",NA
"860 UgwUxKwpoU0tpFVcII94AaABAg","11:03 I skibiddi with 😂😂",NA
"889 UgwQ3wSeoz5jNsLgfi14AaABAg","Megawati dan para partai.pejabat.lurah.camat.masyarakat megawati..menjual negara any.kebapak saya.sampai mati..mereka tidak tau kalau Donal Trump..Raja salman Herman....mereka terjebak.membuat surat palsu.atas nama bapak megawati soekarno.padahal hanya mengontrak..pikirnya any.tidak punya bapak lagi..hidup sendiri..itulah yg terjadi.dalam otak2 mereka2",NA
"894 Ugy4JaJ8pfW5W4aaBxZ4AaABAg","No creo justo que Reemplacen a Joe  el tiene el derecho de luchar hasta el final",NA
"902 UgxChNfKYpzd7KVs6aJ4AaABAg","CNN IS THE ENEMY",NA
"919 UgyZ645rXMc7eOL9DC94AaABAg","Ku xigeenka Somaliland Saylici",NA
"932 UgyOwbJFPk-E53IWzZh4AaABAg","So  size six kids",NA
"938 Ugz-Udrt6hZUvZIecrZ4AaABAg","Yes",NA
"982 Ugw8AJnEu63FbqmI8Vt4AaABAg","@50:30",NA
"997 Ugwquqeb4uuid0qCu3B4AaABAg","❤",NA
"1017 Ugyv8KuzyrlQvZ_RJEd4AaABAg","Lies lies lies",NA
"1023 UgxBzlgnBNC7LKK9T1V4AaABAg","35:55 😂😂😂😂😂😂😂",NA
"1025 Ugwo0kUMHw9Ccw0tFz54AaABAg","😂😂😂❤",NA
"1027 Ugznpd2ecrS7H7U0Y1B4AaABAg","❤❤",NA
"1030 UgzoDs7mlooCY-dcHwN4AaABAg","THE MINORITY",NA
"1040 UgyUpi4rH3AedC8AX6t4AaABAg","❤",NA
"1044 UgyKVEJfEezn0W2XH-t4AaABAg","Block bbc",NA
"1048 UgzLv3gz8NRHQtyxnHJ4AaABAg","Madelyn Jiménez CAb",NA
"1097 UgyMeLJDA0xZQnUI2cJ4AaABAg","🤕",NA
"1107 UgyixzLMAxDBtBLcMcd4AaABAg","The Battle of the extinct Dinosaurs",NA
"1157 UgzQYQ7k_4SJ4PJhfm94AaABAg","Morals of an alley cat go Biden😅",NA
"1167 UgwpKsyVes_fEbp1jl94AaABAg","Rigged from the toss",NA
"1194 UgwNBMfViOMlzlmoaB54AaABAg","No handshake???",NA
"1224 Ugy4_RSLKpiicbARxIZ4AaABAg","Wow",NA
"1241 Ugx84DIpGUYYU7rNrzV4AaABAg","How's the shower these days joe?",NA
"1315 UgxBUsZLn6bP0HHwuQl4AaABAg","🤣😂🤣😂",NA
"1366 UgzoIgXt63sNh6rT6dN4AaABAg","Trumppppppppp🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉",NA
"1389 UgwbmdIbnaUPuiDfQil4AaABAg","LA NACIÓN NO TIENE. SALVACIÓN  DOS ANCIANO  LOCOS 😂JJAJAJAJA JJAJAJAJA 😂",NA
"1408 UgwgIrISwuhPzyp_ZUd4AaABAg","Me and my sister at 4 am :",NA
"1409 UgyPFFBWP27fQv_G-wV4AaABAg","Gooo!! Trummmppp!!! 🎉🎉😅",NA
"1412 Ugy_SqZZgwop1KkmqoR4AaABAg","Wow how sad...",NA
"1452 UgyAY0yq99V0aX1WBAd4AaABAg","HORSE MANUER",NA
"1461 Ugw6SbhKosV6lNPcmv94AaABAg","LIES UP ON LIES",NA
"1462 Ugx5rGykAylnsiPt2p14AaABAg","Trump❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",NA
"1473 Ugw_iZ8wm0STYLD7ICt4AaABAg","۵۴۸۷۱۹",NA
"1498 UgwG1xfdWe4iVM_E3rF4AaABAg","1:11:53 a tootin? 😂",NA
"1517 Ugx1mHCzK2J2dnZc8zZ4AaABAg","Nightmare",NA
